Table Migration report: 16 Oct 2025,,,,,,,,,,,,,,,,,,,,,
================================,,,,,,,,,,,,,,,,,,,,,
Table,Before,After,Action,,,,,,,,,,,,,,,,,,
,CompanyName,NVARCHAR(50),No,No,--/--,CompanyName,NVARCHAR(50),No,No,No,n/a,Copy,CompanyName,,,,,,,,
,ContactTitle,NVARCHAR(50),No,No,--/--,ContactTitle,NVARCHAR(50),No,No,No,n/a,Copy,ContactTitle,,,,,,,,
,ContactFirstName,NVARCHAR(30),No,No,--/--,ContactFirstName,NVARCHAR(30),No,No,No,n/a,Copy,ContactFirstName,,,,,,,,
,ContactLastName,NVARCHAR(50),No,No,--/--,ContactLastName,NVARCHAR(50),No,No,No,n/a,Copy,ContactLastName,,,,,,,,
,ContactAltFirstName,NVARCHAR(50),No,No,--/--,ContactAltFirstName,NVARCHAR(50),No,No,No,n/a,Copy,ContactAltFirstName,,,,,,,,
,ContactAltLastName,NVARCHAR(50),No,No,--/--,ContactAltLastName,NVARCHAR(50),No,No,No,n/a,Copy,ContactAltLastName,,,,,,,,
,Department,NVARCHAR(50),No,No,--/--,Department,NVARCHAR(50),No,No,No,n/a,Copy,Department,,,,,,,,
,BillingAddress,NVARCHAR(255),No,No,--/--,BillingAddress,NVARCHAR(255),No,No,No,n/a,Copy,BillingAddress,,,,,,,,
,City,INT,No,No,--/--,Area,INT,No,No,No,n/a,Rename,City,,,,,,,,
,StateOrProvince,NVARCHAR(20),No,No,--/--,StateOrProvince,NVARCHAR(20),No,No,No,n/a,Copy,StateOrProvince,,,,,,,,
,PostalCode,NVARCHAR(20),No,No,--/--,PostalCode,NVARCHAR(20),No,No,No,n/a,Copy,PostalCode,,,,,,,,
,Country/Region,NVARCHAR(50),No,No,--/--,Country/Region,NVARCHAR(50),No,No,No,n/a,Copy,Country/Region,,,,,,,,
,PhoneNumber,NVARCHAR(30),No,No,--/--,PhoneNumber,NVARCHAR(30),No,No,No,n/a,Copy,PhoneNumber,,,,,,,,
